feature,mean_shap_value
Ca,0.10993663057772826
As,0.07243368303865859
Sr,0.04364035313238806
Ba,0.04341538507778907
V,0.04309349927253681
Ta,0.032713812297841094
Mo,0.02987627470012338
Cu,0.026316294819241935
Cr,0.023687357961805065
K,0.01983889351033187
Ti,0.01316941652891413
Se,0.011986883859114103
S,0.009798925299872193
Sb,0.008861582741628338
Cl,0.008371541286631793
Zn,0.006709385732084108
Zr,0.006430940278863321
Rb,0.005904226782963389
Sn,0.005421204779851516
P,0.00529013269599373
Fe,0.0041919787776427166
Ni,0.0038723108841171444
Al,0.003264908152761957
W,0.0031204080435899076
suma,0.0030084465772944407
Si,0.0026104607039193995
Ag,0.0024230716567261606
Ga,0.002360219404766527
Tl,0.002014562397077302
In,0.0018918973219552854
Br,0.0018896574538487443
Pd,0.0017330269235426804
Ru,0.0017237362986007644
Sc,0.001673723095259501
Mn,0.001587608663722543
Th,0.0015473429864059196
Au,0.0014646274489883604
Hg,0.001296496288885652
Co,0.0012534382584825383
Te,0.0012213075676530548
Nb,0.0011938021603983642
Ge,0.0011242993136945962
Cd,0.0009416290138799836
Y,0.0008882180826420042
Pb,0.0006883122650107197
