feature,mean_shap_value_Terena
Ca,0.10723323671477702
As,0.07328921083599417
V,0.06213728514411287
K,0.03336842392947677
Mo,0.03029757590363115
Ta,0.028840649673604807
Cu,0.02840670469995387
Sr,0.027541469923111173
Cr,0.022806914659437693
Ba,0.022639510190665776
Ti,0.018885726110381675
Se,0.017984782301564032
S,0.014607999330203117
Cl,0.007157521314625547
Fe,0.006786256032728296
Rb,0.006238248432962108
Al,0.00552663258338253
Zn,0.005103106437711921
Sb,0.005094596672849308
Zr,0.00465017986556688
Si,0.0038444256592842776
Sn,0.0037113556640517536
Ni,0.0032426952088132656
Ag,0.002979969920486601
P,0.0023128919305084694
Mn,0.0018751600741723302
W,0.001732036126251574
Tl,0.0016436186165459513
Cd,0.0014099024685843495
Te,0.0012818095568256486
Au,0.0011113483592261365
Th,0.0011056430083379182
Co,0.001103243290417571
Pd,0.001045806284491542
Br,0.0010232118057509154
Nb,0.0010024973349298946
Hg,0.0009145423028339548
Ru,0.0009054155975501507
Sc,0.0008844653944677453
Y,0.0007510954471968466
Ga,0.000736335403722935
In,0.0006419870243291803
Ge,0.0005654087098872099
Pb,0.00014266415611335887
